LÄNSKOD;LÄN;KOMMUNKOD;KOMMUN;VALNÄMND;HEMSIDA;TELNR;LOKALID;LOKAL;ADRESS1;ADRESS2;TILLGÄNGL;BEGRTILLT;LATITUD;LONGITUD;2022-08-24;2022-08-25;2022-08-26;2022-08-27;2022-08-28;2022-08-29;2022-08-30;2022-08-31;2022-09-01;2022-09-02;2022-09-03;2022-09-04;2022-09-05;2022-09-06;2022-09-07;2022-09-08;2022-09-09;2022-09-10;2022-09-11
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;1082004;Stora Coop Karlshamn;;Strömmavägen 1;;N;56,190704;14,848375;10:00-18:00;10:00-20:00;10:00-18:00;10:00-14:00;;10:00-18:00;10:00-18:00;10:00-18:00;10:00-20:00;10:00-18:00;10:00-14:00;;10:00-18:00;10:00-18:00;10:00-18:00;10:00-20:00;10:00-18:00;10:00-14:00;
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;1082010;Väggaskolan;Biblioteket;Väggavägen 2;;J;56,164076;14,873376;;;;;;;;;;;;;11:00-13:00;11:00-13:00;11:00-13:00;11:00-13:00;11:00-13:00;;
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;1082002;Rådhuset, Servicecenter;;Rådhusgatan 10;Entré för rörelsehindrade från Kungsgatan 27.;N;56,169912;14,863575;09:00-18:00;09:00-20:00;09:00-18:00;10:00-14:00;10:00-14:00;09:00-18:00;09:00-18:00;09:00-18:00;09:00-20:00;09:00-18:00;10:00-14:00;10:00-14:00;09:00-18:00;09:00-18:00;09:00-19:00;09:00-20:00;09:00-18:00;10:00-14:00;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;1082009;Högaböke bygdegård;;Norra Holländarevägen 486;;N;56,3239506;14,7786885;;;;;;;;;17:00-19:00;;;;;;;;;;
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;1082008;Halasjö hembygdsgård;;Halasjövägen 1155;;N;56,3009086;15,0028451;;;;;;;;;;;;;;;;17:00-19:00;;;
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;1082003;Svängsta fritidsgård;;Holländarevägen 31;;N;56,2601086;14,7719765;10:00-14:00;14:00-18:00;;;;14:00-18:00;;10:00-14:00;14:00-18:00;;;;14:00-18:00;;10:00-14:00;15:00-19:00;;;
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;1082005;Kommunalhuset, Hällaryd;;Kommunalhusvägen 1;;N;56,2034424;14,9465235;;14:00-18:00;10:00-14:00;;;;14:00-18:00;;14:00-18:00;10:00-14:00;;;;14:00-18:00;;15:00-19:00;10:00-14:00;;
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;1082007;Jössarinken;;Jössastigen 9;;N;56,1907168;14,7651476;14:00-18:00;;;;;10:00-14:00;14:00-18:00;14:00-18:00;;;;;10:00-14:00;14:00-18:00;15:00-19:00;;;;
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080002;Sunnadalskolans bibliotek;;Sunnadalsvägen 3;Ingång från gatan. Ramp finns.;N;56,193679;15,617594;12:00-18:30;12:00-18:30;12:00-18:30;;;;12:00-18:30;12:00-18:30;12:00-18:30;12:00-18:30;;;;12:00-18:30;12:00-18:30;12:00-18:30;12:00-18:30;;
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080003;Fågelmara skola;Kapprum gymnastiksal;Gamla landsvägen 12A;;N;56,264147;15,949949;;15:00-17:30;;;;;15:00-17:30;;15:00-17:30;;;;;15:00-17:30;;15:00-17:30;;;
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080012;Flymen, Församlingshem Fjärdsjömåla;;Flymens kyrka;Ramp finns.;N;56,337193;15,740615;;;;;;;;;;;;;;;;;;;10:00-14:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080006;Jämjö bibliotek;Entrén;Centrumvägen 7;Hiss finns ute.;N;56,190590;15,834224;15:00-17:30;;;;;15:00-17:30;;15:00-17:30;;;;;15:00-17:30;;15:00-17:30;;;;
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080014;Tvings skola;Gymnastiksalen;Kyrkvägen 6;;N;56,307460;15,467092;15:00-18:00;;;;;15:00-18:00;;15:00-18:00;;;;;15:00-18:00;;15:00-18:00;;;;
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080005;Kommunhuset Ruthensparre;Receptionen;Östra Köpmansgatan 1A;Ramp finns.;N;56,163072;15,595741;11:30-15:30;11:30-15:30;11:30-15:30;;;11:30-15:30;11:30-15:30;11:30-15:30;11:30-15:30;11:30-15:30;;;11:30-15:30;11:30-15:30;11:30-15:30;11:30-15:30;11:30-15:30;11:30-15:30;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080010;Blåningsmåla, gamla skolan;;Gnetteryd 128;;N;56,390659;15,452027;;;;;;;;;;;;;;;;;;;10:00-14:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080017;Fridlevstads skola;Kapprum gymnastiksal;Skolvägen 3;;N;56,269462;15,542037;;15:00-18:00;;;;;15:00-18:00;;15:00-18:00;;;;;15:00-18:00;;15:00-18:00;;;
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080001;Lyckeby Medborgarhus;2:a vån stora salen;Riksvägen 37;Hiss;N;56,198680;15,657821;14:00-19:00;14:00-19:00;14:00-19:00;12:00-16:00;12:00-16:00;14:00-19:00;14:00-19:00;14:00-19:00;14:00-19:00;14:00-19:00;12:00-16:00;12:00-16:00;14:00-19:00;14:00-19:00;14:00-19:00;14:00-19:00;;;
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1080007;Holmsjö Allhallen;Caféet, 1 tr;Skolvägen 3;Hiss finns.;N;56,411795;15,541700;;15:00-18:00;;;;15:00-18:00;;;15:00-18:00;;;;15:00-18:00;;;15:00-18:00;;;
