LÄNSKOD;LÄN;KOMMUNKOD;KOMMUN;VALNÄMND;HEMSIDA;TELNR;VALDISTRIKTKOD;VALDISTRIKT;KOMMUNVALKRETSKOD;KOMMUNVALKRETS;LOKAL;ADRESS1;ADRESS2;TILLGÄNGL;LATITUD;LONGITUD;VALDAG;ÖPPETTID
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0512;Horsaryd;108200;Karlshamn;Björkhalla dagcentral;;Lärkvägen 96 A;;56,196602;14,824031;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0101;Högadal;108200;Karlshamn;Gustavsborg samlingssal;;Matrosgatan 18;;56,178274;14,858861;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0310;Hällaryd;108200;Karlshamn;Nyponbackens matsal;;Kommunalhusvägen 2;;56,20402;14,94698;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0108;Vägga;108200;Karlshamn;Väggaskolan;Foajén;Väggavägen 2;;56,164076;14,873376;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0515;Centrala Asarum;108200;Karlshamn;Stenbackaskolan cafeterian;;Stenbackavägen 10;;56,2042378;14,8374770;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0513;Korpadalen;108200;Karlshamn;Östralyckes skolmatsal;;Iglavägen 32;;56,2063722;14,8488266;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0514;Froarp;108200;Karlshamn;Föreningarnas hus;Asarums idrottsplats;Froarpsvägen 63;;56,2179218;14,8449690;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0106;Tubbaryd;108200;Karlshamn;Bellevueparken;Playhouse;Sternövägen 36;Ramp för rörelsehindrade finns.;56,177562;14,850377;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0517;Svängsta nordöst;108200;Karlshamn;Medborgarhuset;Foajén;Skyttevägen 5;;56,258873;14,776754;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0105;Österslätt;108200;Karlshamn;Österslättskolans Café;;Erik Dahlbergsvägen 14;;56,168;14,87224;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0102;Prästslätten;108200;Karlshamn;Prästslättsskolan;Foajén;Markastuvägen 2;;56,181399;14,867046;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0103;Stadsporten;108200;Karlshamn;Lokstallarna;Foajén;Prinsgatan 43;;56,1769;14,85317;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0619;Mörrum västra;108200;Karlshamn;Norrevångskolan, cafeterian;;Gungvalavägen 41-08;;56,2005671;14,7545835;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0621;Gustavstorp;108200;Karlshamn;Mörrums skola;Parkering vid Bolsgården.;Skolvägen 3;Parkering för rörelsehindrad och angöringsplats för färdtjänst anordnas på skolgården, söder om nya byggnaden, infart via Skolvägen.;56,1940728;14,7441151;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0107;Skogsborg;108200;Karlshamn;Stadsteatern;Foajén;Erik Dahlbergsvägen 14;Ramp för rörelsehindrade finns.;56,168417;14,87129;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0620;Mörrum östra;108200;Karlshamn;Jössarinken, Mörrum;;Jössastigen 9;;56,1907168;14,7651476;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0104;Torget;108200;Karlshamn;Rådhuset;Cafeterian;Rådhusgatan 10;Entré för rörelsehindrade från Kungsgatan 27.;56,169599;14,863792;2022-09-11;08:00-20:00
10;Blekinge län;82;Karlshamn;Valnämnden i Karlshamns kommun;karlshamn.se/val2022;0454-81212;0518;Svängsta sydväst;108200;Karlshamn;Svängsta fritidsgård;;Holländarevägen 31;;56,2601086;14,7719765;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0612;Spandelstorp m.fl.;108001;Karlskrona Ö;Spandelstorps skola;Matsalen;Spandelstorpsvägen 5;Markplan;56,214442;15,654002;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1720;Tving;108002;Karlskrona V;Tvings skola;Förskolan, gamla biblioteke;Kyrkvägen 6;Ramp finns.;56,307120;15,467002;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0131;Västerudd;108003;Karlskrona C;Runda Rum;;Amiralitetsgatan 4;Markplan, ramp inne.;56,159231;15,585002;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0613;Hässlegården;108001;Karlskrona Ö;Vedebyhallen A;Innebandyklubbens lokal;Järavägen 1;OBS! Ny lokal. Markplan;56,201378;15,643159;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1825;Nättraby Ö;108002;Karlskrona V;Nättraby Skola;Inomhustorget, utanför bibl;Fredriksdalsvägen 37;;56,203578;15,528348;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1421;Strömsberg;108002;Karlskrona V;Strömsbergs Friskola;Matsalen;Strömsberg;Ramp finns.;56,337128;15,649494;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0510;Lyckeby V;108001;Karlskrona Ö;Lyckeby Allaktivitetshus;fd ÖoB, Fritidsgården;Källevägen 1;Markplan;56,198786;15,654165;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1616;Sillhövda;108002;Karlskrona V;Holmsjö Allhallen;Caféet, 1 tr;Skolvägen 3;Hiss finns;56,411795;15,541700;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0138;Galgamarken;108003;Karlskrona C;Blå Ports förskola;Ingång fr. P, blå dörr;Blåportsgatan 11;Markplan;56,176954;15,592197;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1926;Hasslö;108002;Karlskrona V;Hasslö PRO-lokal;;Hallarnavägen 2;Ramp finns.;56,112320;15,466857;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1205;Ramdala;108001;Karlskrona Ö;Ramdala skola;Matsalen, ingång fr gården;Egnahemsvägen 4;Markplan;56,182432;15,767816;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1423;Rödeby S;108002;Karlskrona V;Rödebyskolan;Biblioteket;Rödebyvägen 42 C;;56,263645;15,621014;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0904;Jämjö S;108001;Karlskrona Ö;Jämjö Bibliotek;Entrén;Centrumvägen 7;Hiss finns ute;56,190590;15,834224;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0801;Kristianopel;108001;Karlskrona Ö;Församlingsh Kristianopel;;Storgatan 9;Ramp finns.;56,256413;16,043096;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0430;Aspö;108003;Karlskrona C;Aspö skola;;Rydvägen 22;Ramp finns;56,110286;15,546973;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0134;Möllebacken m.fl.;108003;Karlskrona C;Ehrensvärdska gymnasiet;Matsalen;Östra Köpmansgatan 26;Ramp finns.;56,163917;15,589383;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0127;Långö-Gräsvik;108003;Karlskrona C;Fregatten, omvårdnadsboende;;Pantarholmskajen 18;Ingång från Pantarholmskajen;56,172543;15,585843;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1518;Fridlevstad;108002;Karlskrona V;Fridlevstads skola;Matsalen;Skolvägen 3;Markplan;56,269525;15,540773;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0132;Rosenfeldt m.fl.;108003;Karlskrona C;Rosenfeldtskolan;Matsalen;Amiralitetstorget 12-14;;56,159555;15,587808;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1824;Nättraby V;108002;Karlskrona V;Nättraby skola;Inomhustorget, utanför bibl;Fredrikdalsvägen 37;OBS! Ny lokal;56,203578;15,528348;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0128;Saltö-Björkholmen;108003;Karlskrona C;Brinova Arena;Foajén;Björkholmen;OBS! Ny lokal;56,162757;15,576423;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0143;Mariedal-Backabo-Torskors;108002;Karlskrona V;Ekliden, omvårdnadsboende;Samlingssalen;Hillerödsvägen 35;Markplan;56,198555;15,612890;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1214;Trummenäs;108001;Karlskrona Ö;Trummenäs förskola;Matsalen;Trummenäsvägen 75;Markplan;56,169732;15,739611;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0509;Verkö m.fl.;108001;Karlskrona Ö;Verkö skola;Matsalen;Verkö Södra Backen 1;Ingång med ramp finns;56,173112;15,643772;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0136;Hogland m.fl.;108003;Karlskrona C;Konserthuset;Foajén;Stortorget 16;Hiss från entré till foajé;56,161654;15,585466;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0135;Wachtmeister m.fl.;108003;Karlskrona C;Stadsbiblioteket;Receptionen;Stortorget 15;Markplan;56,160929;15,585382;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0139;Bergåsa m.fl.;108003;Karlskrona C;Blekinge Tekniska Högskola;Receptionen;Valhallavägen 1;Markplan;56,181874;15,590545;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0903;Jämjö N;108001;Karlskrona Ö;Jämjö Kyrkskola;Matsalen;Riksvägen, Jämjö;1 ingång med ramp.;56,192173;15,832871;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0137;Pantarholmen;108003;Karlskrona C;Tullskolan;Matsalen;Polhemsgatan 2;Markplan;56,174935;15,591032;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0611;Lyckeby Ö;108001;Karlskrona Ö;Östra Torpskolan;Studiesalen;Östra Torpvägen 1;Markplan;56,195526;15,671827;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1844;Nättraby S;108002;Karlskrona V;Nättraby skola;Biblioteket;Fredriksdalsvägen 37;OBS! Ny lokal;56,203578;15,528348;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1002;Torhamn;108001;Karlskrona Ö;Torhamnsgården;;Sandhamnsvägen 57;Ramp finns.;56,094693;15,834500;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0133;Trossö Ö;108003;Karlskrona C;af Chapmangymnasiet;Ingång skolgården, Musiksal;Drottninggatan 49;Ramp finns från gården;56,163982;15,591314;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0606;Kättilsmåla;108001;Karlskrona Ö;Kättilsmåla skola;Gymnastiksalen;Kättilsmålavägen 48;Markplan;56,277867;15,737730;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0508;Kronotorp m.fl.;108001;Karlskrona Ö;Lyckeby Allaktivitetshus;f.d ÖoB, Danssal 2;Källevägen 1;OBS! Ny lokal. Markplan.;56,198786;15,654165;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0142;Kungsmarken;108002;Karlskrona V;Sunnadalskolan;Caféet, skolans inomhustorg;Sunnadalsvägen 3;OBS! Ny lokal. Markplan.;56,193594;15,618553;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0140;Hästö;108003;Karlskrona C;Hästöskolan;fd Hästö Medborgarhus;Alebrunnsvägen 49;Ramp finns.;56,178467;15,619727;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1422;Rödeby N;108002;Karlskrona V;Rödebyskolan;Matsal;Rödebyvägen 42C;;56,263645;15,621014;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;1107;Sturkö;108001;Karlskrona Ö;Sturkö skola;Inomhustorget;Kyrkvägen 1;Markplan;56,112451;15,680972;2022-09-11;08:00-20:00
10;Blekinge län;80;Karlskrona;Valnämnden i Karlskrona kommun;www.karlskrona.se;0455-321926;0141;Marieberg m.fl.;108002;Karlskrona V;Sunnadalsskolan;Matsalen;Sunnadalsvägen 3;;56,193594;15,618553;2022-09-11;08:00-20:00
10;Blekinge län;60;Olofström;Valnämnden i Olofströms kommun;www.olofstrom.se;0454-93058;0106;Oredslund;106000;Olofström;Dannfeltshallen;Dannfeltshallen;Idrottsvägen 6;Ingång genom huvudentrén, genom omklädningsrum.;56,271693;14,530706;2022-09-11;08:00-20:00
10;Blekinge län;60;Olofström;Valnämnden i Olofströms kommun;www.olofstrom.se;0454-93058;0108;Olofström C;106000;Olofström;Dannfeltshallen;;Idrottsvägen 6;Ingång via huvudentrén, genom omklädningsrum.;56,271693;14,530706;2022-09-11;08:00-20:00
10;Blekinge län;60;Olofström;Valnämnden i Olofströms kommun;www.olofstrom.se;0454-93058;0103;Jämshög;106000;Olofström;Jämshögs Medborgarhus;Medborgarhuset;Kyrkovägen 9;;56,240798;14,533968;2022-09-11;08:00-20:00
10;Blekinge län;60;Olofström;Valnämnden i Olofströms kommun;www.olofstrom.se;0454-93058;0107;Olofström-Vilshult;106000;Olofström;Dannfeltshallen;;Idrottsvägen 6;Ingång genom huvudentrén, genom omklädningsrum.;56,271693;14,530706;2022-09-11;08:00-20:00
10;Blekinge län;60;Olofström;Valnämnden i Olofströms kommun;www.olofstrom.se;0454-93058;0104;Brännaregården;106000;Olofström;Brännaregårdsskolan;Gymnastiksalen;Vikingavägen 10;Ingång direkt till gymnastiksalen via dörren på framsidan.;56,280364;14,545959;2022-09-11;08:00-20:00
10;Blekinge län;60;Olofström;Valnämnden i Olofströms kommun;www.olofstrom.se;0454-93058;0105;Ekeryd-Gränum;106000;Olofström;Ekerydsskolan;Gymnastiksalen;Ekerydsplan 8;Ingång direkt till gymnastiksalen via dörr på kortsidan.;56,27326;14,53842;2022-09-11;08:00-20:00
10;Blekinge län;60;Olofström;Valnämnden i Olofströms kommun;www.olofstrom.se;0454-93058;0102;Kyrkhult-Hemsjö;106000;Olofström;Kyrkhults Församlingshem;Församlingshemmet;Fridaforsvägen 9;;56,356398;14,587054;2022-09-11;08:00-20:00
10;Blekinge län;60;Olofström;Valnämnden i Olofströms kommun;www.olofstrom.se;0454-93058;0101;Vilboken;106000;Olofström;Vilboksskolan;Gymnastiksalen;Timmermansgatan 11;Ingång direkt till gymnastiksalen via dörr på kortsidan.;56,282305;14,508449;2022-09-11;08:00-20:00
10;Blekinge län;81;Ronneby;Valnämnden i Ronneby kommun;www.ronneby.se/val2022;0457-61 84 60;0105;Lugnet;108100;Ronneby;Hälsocenter;Ingång vid folktandvården;Hälsovägen 2;;56,206437;15,270693;2022-09-11;08:00-20:00
10;Blekinge län;81;Ronneby;Valnämnden i Ronneby kommun;www.ronneby.se/val2022;0457-61 84 60;0112;Kalleberga;108100;Ronneby;Kallinge sporthall;;Skolvägen 4;;56,24555;15,28022;2022-09-11;08:00-20:00
